lgu_idx,lgu_name,province,region,match_type,matched_to,psgc_muni_code,similarity
82,Caloocan City,Metro Manila,NCR,independent_city,City of Caloocan,1380100000.0,1.0
83,Las Piñas City,Metro Manila,NCR,independent_city,City of Las Piñas,1380200000.0,1.0
84,Makati City,Metro Manila,NCR,independent_city,City of Makati,1380300000.0,1.0
85,Malabon City,Metro Manila,NCR,independent_city,City of Malabon,1380400000.0,1.0
86,Mandaluyong City,Metro Manila,NCR,independent_city,City of Mandaluyong,1380500000.0,1.0
87,Manila City,Metro Manila,NCR,unmatched,Malate,,0.6666666666666666
88,Marikina City,Metro Manila,NCR,independent_city,City of Marikina,1380700000.0,1.0
89,Muntinlupa City,Metro Manila,NCR,independent_city,City of Muntinlupa,1380800000.0,1.0
90,Navotas City,Metro Manila,NCR,independent_city,City of Navotas,1380900000.0,1.0
91,Parañaque City,Metro Manila,NCR,independent_city,City of Parañaque,1381000000.0,1.0
92,Pasay City,Metro Manila,NCR,independent_city,Pasay City,1381100000.0,1.0
93,Pasig City,Metro Manila,NCR,independent_city,City of Pasig,1381200000.0,1.0
94,Quezon City,Metro Manila,NCR,fuzzy_region_only,Quezon City,1381300000.0,1.0
95,San Juan City,Metro Manila,NCR,independent_city,City of San Juan,1381400000.0,1.0
96,Taguig City,Metro Manila,NCR,independent_city,City of Taguig,1381500000.0,1.0
97,Valenzuela City,Metro Manila,NCR,independent_city,City of Valenzuela,1381600000.0,1.0
98,Baguio City,Benguet,CAR,independent_city,City of Baguio,1430300000.0,1.0
99,Tabuk City,Kalinga,CAR,exact,City of Tabuk ,1403213000.0,1.0
100,Alaminos City,Pangasinan,Region I,exact,City of Alaminos,105503000.0,1.0
101,Batac City,Ilocos Norte,Region I,exact,City of Batac,102805000.0,1.0
102,Candon City,Ilocos Sur,Region I,exact,City of Candon,102906000.0,1.0
103,Dagupan City,Pangasinan,Region I,exact,City of Dagupan,105518000.0,1.0
104,Laoag City,Ilocos Norte,Region I,exact,City of Laoag ,102812000.0,1.0
105,San Carlos City,Pangasinan,Region I,exact,City of San Carlos,105532000.0,1.0
106,San Fernando City,La Union,Region I,exact,City of San Fernando ,103314000.0,1.0
107,Urdaneta City,Pangasinan,Region I,exact,City of Urdaneta,105546000.0,1.0
108,Vigan City,Ilocos Sur,Region I,exact,City of Vigan ,102934000.0,1.0
109,Cauayan City,Isabela,Region II,exact,City of Cauayan,203108000.0,1.0
110,Ilagan City,Isabela,Region II,exact,City of Ilagan ,203114000.0,1.0
111,Santiago City,Isabela,Region II,exact,City of Santiago,203135000.0,1.0
112,Tuguegarao City,Cagayan,Region II,exact,Tuguegarao City ,201529000.0,1.0
113,Angeles City,Pampanga,Region III,exact,City of Angeles,330100000.0,1.0
114,Balanga City,Bataan,Region III,exact,City of Balanga ,300803000.0,1.0
115,Cabanatuan City,Nueva Ecija,Region III,exact,City of Cabanatuan,304903000.0,1.0
