School ID,school_name,division,region,median_pctile,iqr_pctile,frac_top_n,mean_rank,rank_sd
124733,Sibuco CS,Zamboanga del Norte,Region IX,1.0,0.0,1.0,1.55,4.253880581304557
123182,Pambujan 1 Central School,Northern Samar,Region VIII,0.999943933617403,0.0,1.0,1.838,0.3684508108282569
123128,Mondragon I Central School,Northern Samar,Region VIII,0.999887867234806,5.6066382597030895e-05,1.0,3.704,1.9340072388695964
500691,Sultan Naga Dimaporo Memorial Integrated School,Lanao del Norte,Region X,0.999831800852209,5.6066382597030895e-05,1.0,3.556,0.6654802776942379
120642,Vallehermoso Central Elementary School,Guihulngan City,NIR,0.999775734469612,5.606638259691987e-05,0.994,8.774,16.973948391579373
130682,Proper Ned Elementary School,South Cotabato,Region XII,0.9997196680870151,0.0,1.0,6.298,1.4356865953264313
501730,Lintangan Integrated School,Zamboanga del Norte,Region IX,0.9995514689392241,0.00028033191298493243,1.0,11.218,7.893191749856327
111124,Sicud Elementary School,Palawan,Region IV-B,0.9995234357479256,0.0006727965911639266,0.974,18.702,30.212070369307696
125718,Kaliantana Elementary School,Zamboanga Sibugay,Region IX,0.999495402556627,0.00016819914779098166,1.0,11.05,3.932365700186085
500833,Tuyan Integrated School,Sarangani,Region XII,0.99943933617403,0.00011213276519395077,1.0,11.154,2.389620053481306
123090,Lope De Vega Central School,Northern Samar,Region VIII,0.99943933617403,0.00028033191298493243,1.0,11.968,6.182796778157923
500795,Glan Central Integrated SPED Center,Sarangani,Region XII,0.99943933617403,0.0003363982955819633,1.0,12.35,6.357947782107053
112893,Maangas ES,Camarines Sur,Region V,0.9993832697914331,0.0003924646781789942,1.0,13.264,6.059232954755908
111798,Pantao ES,Albay,Region V,0.999271137026239,0.0003363982955819633,1.0,15.766,6.031520869565155
126305,Cabanglasan CES,Bukidnon,Region X,0.9992150706436421,0.000504597443372945,0.998,17.48,9.833493784001696
129895,Arakan CES,North Cotabato,Region XII,0.9991590042610451,5.6066382597030895e-05,1.0,15.806,1.8265716520301085
131730,Loreto Central Elem School,Agusan del Sur,CARAGA,0.9990468714958511,0.0008409957389550193,0.98,24.724,23.81201007894966
124623,Salug CS,Zamboanga del Norte,Region IX,0.9990468714958511,0.00016819914779098166,1.0,17.658,2.4901879447142132
128885,Mangili ES,Davao Occidental,Region XI,0.9989908051132541,0.0003363982955819633,1.0,21.422,8.674325103430238
196520,Malangas Central SPED Center,Zamboanga Sibugay,Region IX,0.99887867234806,0.000504597443373056,0.998,25.286,12.564720609707166
130347,Punol ES,North Cotabato,Region XII,0.99887867234806,0.0004485310607760251,1.0,24.262,9.36297794507709
123023,Las Navas I Central School,Northern Samar,Region VIII,0.9987665395828661,0.0011353442475890985,0.992,29.496,19.769723923211473
113133,Tambang CS,Camarines Sur,Region V,0.9986544068176721,0.0006167302085668958,1.0,27.154,8.420111875741318
124349,Kalawit CS,Zamboanga del Norte,Region IX,0.9985983404350751,0.0003924646781788832,1.0,28.396,6.76455349598183
130315,Takepan Central Elementary School,North Cotabato,Region XII,0.9984862076698812,0.000504597443372945,0.998,32.096,11.460487947727183
125022,Dumingag CES,Zamboanga del Sur,Region IX,0.9984301412872841,0.00022426553038790153,1.0,29.976,4.65052943222597
112427,Bula CS,Camarines Sur,Region V,0.9984301412872841,0.00028033191298493243,1.0,29.126,3.395603628222823
113539,Gilotongan ES,Masbate,Region V,0.9984301412872841,0.0005606638259699759,0.996,32.556,13.647668811925353
127124,Tambo Elementary School,Lanao del Norte,Region X,0.9982058757568961,0.00028033191298504345,1.0,33.896,4.991310849866997
500032,Cabugao IS,Catanduanes,Region V,0.9981498093742992,0.0016259250953128968,0.96,43.436,26.857436661006947
135813,Banaue CS,Ifugao,CAR,0.9980376766091051,0.002873402108096057,0.842,58.306,58.46883241522786
130555,Kinam Elementary School,Sarangani,Region XII,0.9979255438439112,0.0025510204081633514,0.83,116.658,329.9243747224506
121061,Bato Central School,Leyte,Region VIII,0.9979255438439112,0.0003363982955819633,1.0,39.488,6.529460620908897
112043,Rapu-Rapu CS,Albay,Region V,0.9978694774613142,0.0011213276519398407,0.996,43.724,15.319785377086717
124691,Mangilay II ES,Zamboanga del Norte,Region IX,0.9978694774613142,0.0007288629737609575,0.998,41.206,10.400171344742354
129157,Lambajon Central Elementary School SPED Center,Davao Oriental,Region XI,0.9978694774613142,0.0007288629737609575,0.998,42.596,12.093170965466419
130330,Pikit Central Elementary School,North Cotabato,Region XII,0.9977573446961202,0.0029855348732898968,0.816,68.924,81.9726919406701
124295,Gutalac CS,Zamboanga del Norte,Region IX,0.9977573446961202,0.00028033191298493243,1.0,41.654,3.101335841214234
128308,Laak CES,Davao De Oro,Region XI,0.9977573446961202,0.0012895267997308224,0.998,42.986,16.2644951965931
502129,Badjao Floating Integrated School,Isabela City,Region IX,0.9975891455483292,0.0009531285041489701,0.998,46.99,12.512469780183286
120056,Tambo Elementary School,Negros Oriental,NIR,0.9975891455483292,0.001359609777977111,0.964,49.908,21.256893846467786
124830,Siocon CS,Zamboanga del Norte,Region IX,0.9975891455483292,0.001864207221350056,0.92,52.746,29.456433660577446
124679,Diongan Elementary School,Zamboanga del Norte,Region IX,0.9975330791657322,0.00028033191298504345,1.0,45.302,3.472001728110169
110808,Mangsee Elementary School,Palawan,Region IV-B,0.9975050459744337,0.0025930701951110136,0.838,65.318,64.57009273649838
128515,Camanlangan ES,Davao De Oro,Region XI,0.9974770127831353,0.0005606638259699759,1.0,46.68,7.524466758515183
131189,Malisbong Elementary School,Sultan Kudarat,Region XII,0.9973088136353443,0.0006727965911639266,0.996,51.17,10.07020853805918
116963,Cauayan CS,Negros Occidental,NIR,0.9972807804440458,0.0047656425207446285,0.708,88.544,106.80026247158759
130460,Glan Padidu CES,Sarangani,Region XII,0.9971686476788517,0.0007288629737609575,0.996,53.916,10.908938720150553
501770,Kaligutan Integrated School,Davao De Oro,Region XI,0.9970845481049563,0.00022426553038790153,1.0,52.944,2.9981434255218677
120378,Tara Elementary School,Negros Oriental,NIR,0.9970845481049563,0.0007288629737609575,0.97,57.394,20.701854119860858
120459,Felipe Tayko MCES,Negros Oriental,NIR,0.9970284817223592,0.0031537340210809894,0.802,64.748,49.712377694091444
123245,SAN ROQUE CS,Northern Samar,Region VIII,0.9969724153397623,0.00196232339089486,0.876,66.37,43.0395759737477
120423,Pamplona CES,Tanjay City,NIR,0.9969724153397623,0.0013455931823278533,0.94,60.782,24.905792017119232
123206,Alegria ES,Northern Samar,Region VIII,0.9969163489571653,0.000504597443373056,1.0,57.14,6.735606876889417
111101,Guilingan Elementary School,Palawan,Region IV-B,0.9968042161919713,0.002424871047320032,0.848,65.788,37.20676089099937
128807,Sto. Niño CES,Davao del Norte,Region XI,0.9966640502354788,0.003952679973088125,0.73,86.42,81.1398767561302
128662,Maniki CES SPED Center,Davao del Norte,Region XI,0.9965799506615833,0.001415676160574142,0.932,66.504,23.09636300372853
120337,Abis Elementary School,Negros Oriental,NIR,0.9965238842789863,0.0003363982955819633,1.0,63.214,4.343294141547403
112789,Antipolo ES (Minalabac),Camarines Sur,Region V,0.9965238842789863,0.0016819914779098166,0.944,65.226,21.206105818843778
502378,Blit Integrated School,South Cotabato,Region XII,0.9964117515137924,0.0007288629737609575,0.994,66.692,10.464279048267015
127163,Kalanganan Elementary School,Lanao del Norte,Region X,0.9963556851311953,0.0011773940345369827,0.986,66.114,14.97881851148481
123234,Bantayan Elementary School,Northern Samar,Region VIII,0.9963556851311953,0.0010652612693429209,0.92,70.65,19.405759454347567
112343,Bagong Lipunan ES,Camarines Sur,Region V,0.9962996187485983,0.004331128055617861,0.692,142.036,267.2709163077793
501985,Lake Soluton Integrated School,South Cotabato,Region XII,0.9962435523660014,0.001457725947521804,0.862,78.606,37.17696550284867
123509,Gandara I Central Elementary School,Samar (Western Samar),Region VIII,0.9961874859834043,0.003434065934066033,0.7,84.02,53.830656693003476
112110,Capalonga CS,Camarines Norte,Region V,0.9961033864095088,0.0017941242431038784,0.858,74.128,26.653397832171414
129129,Tanglad Elementary School,Davao Occidental,Region XI,0.9959632204530163,0.00100919488674589,0.914,76.95,16.767334314076283
120466,MALOH CENTRAL SCHOOL,Negros Oriental,NIR,0.9959071540704194,0.002522987216864836,0.752,81.598,38.740423281115554
125896,Lower Tungawan Elementary School,Zamboanga Sibugay,Region IX,0.9959071540704194,0.0022426553038797925,0.79,89.02,69.80744659418507
193013,Barangay Uno Elementary School,Northern Samar,Region VIII,0.9959071540704194,0.0008970621215519392,0.992,74.232,11.506092994583348
112978,Bolo ES (Camarines Sur),Camarines Sur,Region V,0.9958510876878224,0.0016960080735590743,0.834,80.51,27.15020994393966
128841,Kinanga Elementary School,Davao Occidental,Region XI,0.9958510876878224,0.003476115721013695,0.682,104.662,98.66729831104122
112364,Bato North CS,Camarines Sur,Region V,0.9957950213052253,0.001457725947521804,0.826,82.716,24.19692840010897
130910,Bagumbayan Central Elementary School,Sultan Kudarat,Region XII,0.9957389549226284,0.0014016595649248842,0.816,86.178,31.383981837873918
128881,Jose Abad Santos CES,Davao Occidental,Region XI,0.9956828885400314,0.0031537340210809894,0.68,97.964,79.1106232057364
112854,Hibago ES,Camarines Sur,Region V,0.995598788966136,0.0016819914779098166,0.804,86.622,34.06175444688661
128514,Cabinuangan CES,Davao De Oro,Region XI,0.9955707557748374,0.0014016595649247732,0.822,84.126,20.220636092863153
129951,Salama CES,North Cotabato,Region XII,0.9955146893922404,0.0005746804216192336,1.0,80.158,6.484831223709681
130674,Lamfugon Elementary School,South Cotabato,Region XII,0.9954586230096434,0.0005606638259698649,1.0,81.17,6.907756509895235
120358,Don Cristito C. Tirambulo MES,Negros Oriental,NIR,0.9953464902444494,0.00302758466023767,0.636,88.67,43.49773672273076
118881,Alegria Central ES,Cebu,Region VII,0.9952904238618524,0.0019062570082978292,0.708,90.612,27.247632117305166
130920,Datu Matilondo Galmak Central School,Sultan Kudarat,Region XII,0.9951502579053599,0.0014016595649248842,0.742,89.686,17.403315890944462
