School ID,school_name,division,region,median_pctile,iqr_pctile,frac_top_n,mean_rank,rank_sd
125774,Payao Central Elementary School,Zamboanga Sibugay,Region IX,0.9999402949429816,5.970505701835549e-05,1.0,1.57,0.6269768735766893
500690,Sultan Ali Dimaporo Memorial IS,Lanao del Norte,Region X,0.9998805898859633,0.00037315660636449977,0.98,11.274,25.96649618258112
120366,Mabinay Central School,Negros Oriental,NIR,0.9997611797719267,0.00023882022807331094,1.0,6.718,3.8286389226460105
112084,Basud CS,Camarines Norte,Region V,0.9997014747149083,0.00017911517105495545,1.0,6.694,2.3350297642642586
130560,Lun Padidu Central Elementary School,Sarangani,Region XII,0.99964176965789,0.00047764045614662187,0.994,12.434,18.53066766201369
124733,Sibuco CS,Zamboanga del Norte,Region IX,0.9995820646008717,0.004388321690847241,0.786,99.57,271.8061093868201
129368,Ronquillo & Dayanghirang Elementary School,Davao Oriental,Region XI,0.9995223595438534,0.0002985252850916664,1.0,10.822,4.66672433297704
112351,Duran ES (Camarines Sur),Camarines Sur,Region V,0.9995223595438534,0.0003582303421099109,1.0,11.788,9.182758626905098
123268,Silvino Lubos CS,Northern Samar,Region VIII,0.9995223595438534,0.0018060779748043654,0.914,30.97,58.17519316684733
125882,Titay Central Elementary School,Zamboanga Sibugay,Region IX,0.999462654486835,0.0022687921666965094,0.914,34.718,62.64173110634794
130330,Pikit Central Elementary School,North Cotabato,Region XII,0.999462654486835,0.0006119768344378107,0.994,14.88,18.803446492598106
126756,Kalagangan CES,Bukidnon,Region X,0.9994029494298167,0.0004179353991282664,1.0,12.542,4.862122581753776
115675,Pilar ES,Capiz,Region VI,0.9991641292017434,0.0002985252850916664,1.0,14.768,3.3755260330798813
113728,Milagros West CS,Masbate,Region V,0.9989850140306884,0.0005373455131649774,0.994,21.996,15.446811450911154
123956,San Jose De Buan Central Elementry School,Samar (Western Samar),Region VIII,0.9989850140306884,0.0002985252850916664,0.998,19.276,11.632361067298419
123128,Mondragon I Central School,Northern Samar,Region VIII,0.9989551615021792,0.002567317451788176,0.904,42.046,69.573787334024
111119,Rizal Central School,Palawan,Region IV-B,0.9988656039166517,0.001492626425458221,0.962,29.626,33.32161646739245
122413,Can-avid Central Elementary School,Eastern Samar,Region VIII,0.9987461938026151,0.0014329213684399766,0.994,27.0,18.066543665017942
130829,Lugan Central Elementary School,South Cotabato,Region XII,0.9987461938026151,0.0013732163114216211,0.996,25.554,17.499916685515963
115819,Tapaz CS,Capiz,Region VI,0.9987461938026151,0.0002985252850916664,1.0,22.498,5.580143008920111
110808,Mangsee Elementary School,Palawan,Region IV-B,0.9987163412741059,0.0010896172905845436,0.966,31.634,35.39853166446314
127187,Salvador CES,Lanao del Norte,Region X,0.9986864887455967,0.0007910920054928772,1.0,24.788,9.980734241527525
126002,Isabela Central Elementary Pilot School,Isabela City,Region IX,0.9985670786315601,0.0019105618245865985,0.946,37.288,35.60742978649259
124335,Ponot Central School,Zamboanga del Norte,Region IX,0.9985670786315601,0.0009105021195294771,1.0,26.936,11.384546719127643
125866,Kitabog Elementary School,Zamboanga Sibugay,Region IX,0.9984476685175234,0.0008955758552749993,0.974,33.706,21.196027080563944
121384,Hilongos South Central School,Leyte,Region VIII,0.9984476685175234,0.0035375246283360084,0.794,90.408,194.45915133004155
120447,Lindy Pajunar MES (Bondo ES),Negros Oriental,NIR,0.9984476685175234,0.0003582303421099109,1.0,27.774,4.77230803699845
120625,"Don Vicente Lopez, Sr. MS (Bagawines ES)",Guihulngan City,NIR,0.9984476685175234,0.0008955758552749993,1.0,29.736,11.39378356824457
500284,Policarpo H. Millona Central Integrated School,Sarangani,Region XII,0.9982685533464685,0.0015523314824765766,0.914,50.678,77.38381171795558
125733,Buhangin Mahaba Elementary School,Zamboanga Sibugay,Region IX,0.9982088482894501,0.00023882022807331094,1.0,31.234,3.97935220858873
130561,Malapatan CES,Sarangani,Region XII,0.9982088482894501,0.0016717415965132876,0.978,34.92,25.306236385523626
115507,Ivisan ES,Capiz,Region VI,0.9982088482894501,0.001970266881604843,0.954,40.316,30.227671825663318
130443,Baliton Elementary School,Sarangani,Region XII,0.9981192907039227,0.0005970505701833329,0.976,41.544,42.66370898081881
111798,Pantao ES,Albay,Region V,0.9980297331183952,0.0024031285449876982,0.896,48.68,47.6023696889136
108935,Mulanay CES,Quezon,Region IV-A,0.9979700280613768,0.0011941011403665547,0.998,37.386,14.413917024875646
128308,Laak CES,Davao De Oro,Region XI,0.9979103230043584,0.00150755268971281,0.938,45.684,36.14493248022466
113151,Tinambac CS,Camarines Sur,Region V,0.9977312078333035,0.0009552809122933548,0.974,45.348,21.19582260729694
125854,Talusan Central Elementary School,Zamboanga Sibugay,Region IX,0.9976117977192668,0.0008358707982566438,1.0,43.628,10.960365687329963
128881,Jose Abad Santos CES,Davao Occidental,Region XI,0.9976117977192668,0.0024031285449878093,0.884,53.862,40.83281714503666
114292,Eduardo Lee Chan MS (Magallanes South),Sorsogon,Region V,0.9975520926622485,0.0005373455131649774,0.996,44.234,10.348489938150397
131182,Palimbang Central School,Sultan Kudarat,Region XII,0.9973132724341752,0.0009552809122932437,0.998,47.482,11.67500218415397
115636,Panay CS,Capiz,Region VI,0.9972535673771569,0.0019404143530956652,0.874,69.816,73.81453883890354
